"","Length","logFC","logCPM","F","PValue","FDR"
"AT4G19690",1564,4.40086635776836,6.66291806632935,59.5385672524266,6.0361898022964e-09,0.000198186219778798
"AT4G19680",1394,3.14336185090347,2.53993831698209,44.6984513224107,1.18880106085696e-07,0.00139742652632558
"AT1G71010",5999,0.799258458990347,7.59012499540411,43.9937187802078,1.3731122861832e-07,0.00139742652632558
"AT3G58810",2176,2.77298792472768,3.25236888645884,43.0729092760896,1.70246584390775e-07,0.00139742652632558
"AT5G47910",3603,2.01896284601266,4.88032081960107,40.6896602317805,2.90197991853634e-07,0.00190561413330607
"AT1G12110",2202,1.91100022397184,5.62633184450815,39.8862793731384,3.49765947803697e-07,0.00191397756070646
"AT2G41380",1280,2.55031117687402,2.9409174792663,35.990896911752,8.9819721606694e-07,0.00421292988501798
"AT5G23980",2337,5.07426121755091,0.664048715751861,33.2245880355177,1.36370035614297e-06,0.00559679672415527
"AT4G16370",2698,2.10850123301925,5.78831644491847,32.9221135053986,1.947411640401e-06,0.00607636510286536
"AT4G28720",1734,1.27803405520917,7.12066008785548,32.7502047627061,2.03575719951022e-06,0.00607636510286536
"AT1G34760",1253,3.50058214725295,1.13748923256223,31.3393860755797,2.61557757284102e-06,0.00615137422606331
"AT5G53460",7625,1.28151001243658,10.1419305906631,31.7443283841527,2.65117736257222e-06,0.00615137422606331
"AT5G53450",2550,0.891109804498159,6.56122892611174,31.2027360651574,3.06183022593377e-06,0.00615137422606331
"AT4G15215",5165,0.893571534353614,7.6478096907714,30.8420199207331,3.37236122404713e-06,0.00615137422606331
"AT1G67980",1119,-2.82656755105198,2.07559842747177,29.525095580254,4.93205133601817e-06,0.00852284429028866
"AT2G26890",8455,1.07234464980946,5.93049728911831,29.1499885969367,5.34717436482434e-06,0.0086490834640368
"AT3G07720",1431,1.32556537374627,5.749424337652,28.8985205623829,5.73288726307646e-06,0.0086490834640368
"AT4G33240",6519,0.91539693748554,6.65103147955361,28.7194594297905,6.02510957590149e-06,0.0086490834640368
"AT3G22380",5760,0.805462925124589,8.79901332287262,28.049094614449,7.26868841669391e-06,0.0086490834640368
"AT1G80470",1718,4.21503874542814,-0.905047194206449,26.7243011574247,7.27815580234363e-06,0.0086490834640368
"AT4G30100",5193,0.96125677797317,7.26506877156549,27.9127288373456,7.55350785823991e-06,0.0086490834640368
"AT3G45060",1912,-5.4801356355491,3.9362662833517,27.5845923015236,7.6282901056352e-06,0.0086490834640368
"AT1G01580",2850,0.770225457636525,6.83854380766874,27.8726911614297,7.63936955066753e-06,0.0086490834640368
"AT5G41540",3117,1.31165009082597,3.82608541009215,27.7151190407457,7.98962730825997e-06,0.00874411444706999
"AT1G30270",2564,0.890883049259207,5.01801337920588,27.2524028123136,9.11091610817078e-06,0.00964963576063133
"AT1G05960",3910,0.815254423987086,6.45521134408454,26.358073391922,1.17838261998503e-05,0.0120905739256151
"AT3G09560",3914,0.801894029616151,6.1019413308286,25.7779822514437,1.39549606291656e-05,0.0138843400708301
