"","Length","logFC","logCPM","F","PValue","FDR"
"AT4G19680",1394,4.52178351418033,2.53993831698209,124.277500390303,7.81073771939774e-13,2.56449951540986e-08
"AT2G14247",1094,6.42046496145733,1.78325249423822,94.6646178239775,2.79356346125349e-12,3.78675864145702e-08
"AT3G56970",1082,6.592943490475,1.30093708074226,89.0184514343283,4.60088499753918e-12,3.78675864145702e-08
"AT4G16370",2698,3.51506796041687,5.78831644491847,107.499626398313,5.10876797367172e-12,3.78675864145702e-08
"AT4G19690",1564,5.92324933003572,6.66291806632935,106.530777016159,5.76669607019922e-12,3.78675864145702e-08
"AT5G53450",2550,1.46940482753772,6.56122892611174,87.912013076207,6.46891702074662e-11,3.53989920903623e-07
"AT5G47910",3603,2.76428826125393,4.88032081960107,83.1538119904247,1.27763255519294e-10,5.70209468591283e-07
"AT1G74770",4501,1.76777814742629,4.78594978542156,82.5772122607007,1.38935697278051e-10,5.70209468591283e-07
"AT3G58810",2176,3.28618902477588,3.25236888645884,79.4208235507604,2.26166221884632e-10,8.25079507015348e-07
"AT3G56980",1215,3.55647730554437,4.78223284979405,76.9531650919307,3.25287203939725e-10,1.0680154766953e-06
"AT1G01580",2850,1.19710238659535,6.83854380766874,68.1119974722464,1.33820063940819e-09,3.99428559942629e-06
"AT1G13609",501,6.23426213411203,1.34076236299835,56.4365920308842,2.64545627368287e-09,7.23818881948581e-06
"AT1G12110",2202,2.33335560035714,5.62633184450815,63.3342713388061,3.04213166780713e-09,7.41832271646775e-06
"AT2G41090",1433,-2.70670642646336,0.819357407011503,62.8927385656389,3.16317479458315e-09,7.41832271646775e-06
"AT1G23020",2785,1.73701348491793,5.56912862221676,61.6241049565981,4.12249255619639e-09,9.02358653983974e-06
"AT4G04770",2100,-1.2607447820185,4.21739202438906,58.6755269830736,7.05829487628119e-09,1.44840622295588e-05
"AT1G09790",1698,3.22117180284668,2.00265259392716,51.7988628998248,2.20983004302416e-08,4.26796175309484e-05
"AT3G07720",1431,1.70961744826259,5.749424337652,52.2725275778462,2.41446645632156e-08,4.40412095335588e-05
"AT4G28720",1734,1.54054243963579,7.12066008785548,48.3652298994995,5.36148265971878e-08,9.26492421929192e-05
"AT2G34340",1184,1.09480173960643,7.34728654493806,47.2759360460667,6.74398103366532e-08,0.000110712564639167
"AT3G43670",2391,-1.79044262881619,4.0687064074289,44.7659325471653,1.15902205017542e-07,0.000181210337968618
"AT3G02110",1824,1.37676192915813,6.4947030317097,43.7590497413449,1.44644919887836e-07,0.000215869393394423
"AT1G34760",1253,3.14739098145002,1.13748923256223,42.4460038928365,1.62893011722061e-07,0.000232533315385671
"AT1G12030",1179,2.84893249933972,1.71630741841789,42.844921488579,1.83125631794372e-07,0.000250523494529359
"AT1G21340",878,1.20292716427741,6.62942617297489,42.4641022093633,1.93309168000912e-07,0.000253876796518957
"AT1G80240",1586,0.958340531488845,9.85217439077198,42.0746199475846,2.11138972605845e-07,0.000266627918752604
"AT5G04590",3325,-1.07859134660741,7.22709603045333,41.6946340250111,2.30223472167357e-07,0.000279960268950772
"AT1G50060",765,1.61768176973165,7.85678089779155,41.5297635983829,2.39064998485545e-07,0.000280329324831282
"AT5G05250",1500,2.44429705483783,1.67976892286225,40.6375664238326,3.02352042688565e-07,0.000330904153919789
"AT2G25940",1796,1.4959679137315,2.598163576125,40.07355985787,3.35226232652175e-07,0.000355047835376414
"AT2G41240",1157,4.11155413999336,-0.171481701414033,33.293758832594,4.08166730247276e-07,0.000406101159218449
"AT2G41100",2548,-1.66922616430969,6.68270426360665,38.8934947294235,4.41987218446968e-07,0.000415300444600689
"AT5G07530",1959,4.43719320707554,1.013868313449,36.8044531963763,4.4555386299279e-07,0.000415300444600689
"AT5G03510",1200,0.963412669898163,6.07925392420957,38.7680454895715,4.55359425140097e-07,0.000415300444600689
"AT1G26720",841,1.40789279867935,2.1247390177777,37.0703167870198,6.86957406432905e-07,0.000609591149335448
