"","Length","logFC","logCPM","F","PValue","FDR"
"AT3G56970",1082,8.03254295265177,1.30093708074226,151.016479341217,1.05244571073698e-15,3.45549500206274e-11
"AT4G19680",1394,5.87115728673938,2.53993831698209,188.068765518126,2.51556189735802e-15,3.71324987752565e-11
"AT4G16370",2698,4.83964613465862,5.78831644491847,179.590417469372,4.68225029081397e-15,3.71324987752565e-11
"AT1G13609",501,9.16948055274212,1.34076236299835,140.897781524181,4.97120113789233e-15,3.71324987752565e-11
"AT1G74770",4501,2.65881133297004,4.78594978542156,177.216523582336,5.6547526536193e-15,3.71324987752565e-11
"AT1G47395",833,7.80097708360769,0.164590637231118,148.69875754652,4.37653406289117e-14,2.39491238144843e-10
"AT5G53450",2550,1.93763596173327,6.56122892611174,149.83026736444,5.96176264729327e-14,2.796322185694e-10
"AT3G56980",1215,5.47977112129216,4.78223284979405,140.937510699422,1.39858416021321e-13,5.73996421653503e-10
"AT4G19690",1564,7.10782325837029,6.66291806632935,134.149888079485,2.72806931993934e-13,9.50661943358883e-10
"AT2G14247",1094,6.19971029417332,1.78325249423822,110.202225718771,2.89544648176799e-13,9.50661943358883e-10
"AT2G41240",1157,4.83756727385435,-0.171481701414033,86.7838655197982,8.63254481119398e-13,2.5766576707812e-09
"AT3G58810",2176,3.95883273268479,3.25236888645884,111.814323391557,3.13909680352436e-12,8.58883044584293e-09
"AT5G47910",3603,3.10403754223849,4.88032081960107,108.778153696779,4.38332713986168e-12,1.10705984602368e-08
"AT5G07530",1959,4.70568260355291,1.013868313449,91.1439339211369,1.10999685827932e-11,2.60318048913465e-08
"AT1G23020",2785,2.13573526357687,5.56912862221676,92.9135426471717,3.25829962863948e-11,7.13198344714134e-08
"AT1G09790",1698,3.70866484886728,2.00265259392716,87.4583536195379,5.05478185055027e-11,1.03727282811948e-07
"AT3G07720",1431,2.22317874727817,5.749424337652,87.0273932011415,7.32588196722436e-11,1.41488636841104e-07
"AT3G43670",2391,-2.37192843185655,4.0687064074289,82.5268175990378,1.40030892776511e-10,2.55424127918399e-07
"AT5G05250",1500,3.55665643124253,1.67976892286225,82.3013742097256,1.53811252224348e-10,2.65793939172738e-07
"AT1G12110",2202,2.66445176948927,5.62633184450815,80.9615223918501,1.76282631607689e-10,2.89394382178762e-07
"AT1G12030",1179,3.35045418683974,1.71630741841789,79.8835509136092,2.2001618027028e-10,3.439900593721e-07
"AT2G41380",1280,3.05764888394187,2.9409174792663,76.5702085300044,3.46854355103604e-10,5.17648592778028e-07
"AT1G34760",1253,3.36270199397041,1.13748923256223,69.1602839633698,8.34474813280176e-10,1.19123093671426e-06
"AT4G04770",2100,-1.35293361644378,4.21739202438906,70.4959635665384,9.01891231832647e-10,1.23382478394839e-06
"AT1G07890",1790,-0.966960666766408,8.61713103263815,68.1677293857819,1.32574870764371e-09,1.74113229272264e-06
"AT1G11530",652,-3.5872671865583,0.955206818301954,63.5346752806742,2.94763348385268e-09,3.72229423751289e-06
