cluster	gene
1	AT1G01580
1	AT1G01780
1	AT1G05230
1	AT1G80240
1	AT2G01850
1	AT2G02990
1	AT2G06850
1	AT2G32560
1	AT2G36950
1	AT2G37570
1	AT3G48460
1	AT3G51600
1	AT3G59530
1	AT4G20170
1	AT4G35390
1	AT5G20270
2	AT4G22690
3	AT1G07590
3	AT1G07610
3	AT1G21980
3	AT1G30270
3	AT1G53470
3	AT2G31350
3	AT2G41380
3	AT3G07720
3	AT3G13090
3	AT3G18290
3	AT3G21070
3	AT3G28910
3	AT3G61890
3	AT4G37370
3	AT5G13700
3	AT5G39050
3	AT5G57050
4	AT1G67980
5	AT1G04610
5	AT1G51260
5	AT1G54010
5	AT2G23630
5	AT4G00400
5	AT4G04460
5	AT4G19030
5	AT4G37160
5	AT5G15940
5	AT5G16240
5	AT5G58784
6	AT2G41090
6	AT3G48490
6	AT3G52540
6	AT4G14100
7	AT2G30750
8	AT1G07180
8	AT1G08920
8	AT1G53700
8	AT2G14960
8	AT3G05630
8	AT3G23870
8	AT3G25790
8	AT3G52370
8	AT3G62850
8	AT4G00360
8	AT4G15215
8	AT4G37770
8	AT5G43890
9	AT1G12110
9	AT1G64930
9	AT1G72140
9	AT1G72500
9	AT1G75590
9	AT1G77280
9	AT1G77760
9	AT2G43120
9	AT3G18950
9	AT3G46080
9	AT3G61880
9	AT4G28720
9	AT4G29740
9	AT4G29930
9	AT4G34710
9	AT5G01040
9	AT5G07010
9	AT5G24660
9	AT5G55090
9	AT5G55180
10	AT1G52060
10	AT1G52070
10	AT1G74010
10	AT2G16060
10	AT3G45970
10	AT4G10500
10	AT4G17490
10	AT4G37320
10	AT5G16230
10	AT5G35735
10	AT5G60530
11	AT1G10480
11	AT2G23400
11	AT4G25700
11	AT5G03510
11	AT5G20700
12	AT1G13100
12	AT1G21130
12	AT1G25460
12	AT1G27921
12	AT1G29740
12	AT1G36622
12	AT1G50900
12	AT1G68470
12	AT2G40300
12	AT2G41810
12	AT3G26220
12	AT3G45060
12	AT4G13500
12	AT4G26050
13	AT1G74100
14	AT1G72150
14	AT5G51520
14	AT5G53250
15	AT1G10690
15	AT1G15385
15	AT1G49530
15	AT1G68450
15	AT1G68795
15	AT1G70690
15	AT1G72790
15	AT1G74020
15	AT1G75000
15	AT2G01275
15	AT2G01300
15	AT2G01340
15	AT2G21180
15	AT2G34340
15	AT3G04060
15	AT3G05890
15	AT3G09950
15	AT4G08555
15	AT5G18270
15	AT5G50175
15	AT5G57510
16	AT1G63120
16	AT1G78530
16	AT3G02110
17	AT1G23840
17	AT1G65845
17	AT1G74590
17	AT2G38860
17	AT2G39400
17	AT2G43620
17	AT3G16690
17	AT4G14746
17	AT4G39830
17	AT5G24270
18	AT1G07650
19	AT1G51830
19	AT1G70140
19	AT1G76230
19	AT2G34790
19	AT2G37580
19	AT4G34590
19	AT5G07880
20	AT4G31500
21	AT1G78955
21	AT3G09040
21	AT3G23230
21	AT3G50470
21	AT3G54530
21	AT3G59330
21	AT4G21680
21	AT4G37920
21	AT4G39790
21	AT5G49410
22	AT2G30350
23	AT1G29160
23	AT3G04720
23	AT3G15210
23	AT3G16150
23	AT3G53720
23	AT4G17500
23	AT4G33040
23	AT4G35480
23	AT4G36040
23	AT4G37790
23	AT5G65660
23	AT5G67600
24	AT1G62750
24	AT2G14170
24	AT3G11560
24	AT3G59310
24	AT4G32970
24	AT5G08380
24	AT5G36930
25	AT2G19190
26	AT1G04640
26	AT1G14840
26	AT1G61430
26	AT2G01510
26	AT2G20210
26	AT3G04260
26	AT3G62470
26	AT4G02990
26	AT4G29910
26	AT5G04320
26	AT5G63700
27	AT1G26820
27	AT1G55240
27	AT2G37540
27	AT2G38480
27	AT3G06460
27	AT3G20160
27	AT3G47400
27	AT4G13890
27	AT4G20260
27	AT5G57685
28	AT2G13360
28	AT2G24580
28	AT3G26720
29	AT1G13490
29	AT1G21110
29	AT1G78750
29	AT3G49160
29	AT5G07080
29	AT5G41763
30	AT2G28200
30	AT2G37330
30	AT2G37530
30	AT3G03530
30	AT4G26890
30	AT5G42210
30	AT5G44670
31	AT1G21120
31	AT2G41100
31	AT2G43000
31	AT3G22060
31	AT5G48430
32	AT5G22890
32	AT5G25460
32	AT5G38200
33	AT3G28750
34	AT4G33050
35	AT1G20300
35	AT1G21560
35	AT1G29170
35	AT1G44780
35	AT1G51965
35	AT2G02150
35	AT2G16430
35	AT2G34450
35	AT2G34780
35	AT3G02050
35	AT3G55340
35	AT4G00690
35	AT4G01533
35	AT4G15810
35	AT4G29170
35	AT4G29360
35	AT4G37670
35	AT5G05580
35	AT5G11470
35	AT5G15170
35	AT5G40520
35	AT5G58130
35	AT5G65860
36	AT5G59530
37	AT2G46430
38	AT1G19990
38	AT1G20610
38	AT1G21650
38	AT1G62120
38	AT2G16570
38	AT2G16650
38	AT3G06920
38	AT5G33300
38	AT5G51100
38	ATCG01020
39	AT1G02440
39	AT1G31540
39	AT2G47550
39	AT4G10720
39	AT5G24110
39	AT5G39020
39	AT5G42440
39	AT5G44585
39	AT5G45380
39	AT5G63410
40	AT3G26470
41	AT1G02280
41	AT1G08640
41	AT2G26470
41	AT2G37660
41	AT2G44020
41	AT3G18320
41	AT3G18420
41	AT3G25680
41	AT3G50070
41	AT3G57350
41	AT3G63450
41	AT4G18480
41	AT4G30950
41	AT4G38170
41	AT5G01090
41	AT5G03800
41	AT5G05540
41	AT5G12150
41	AT5G13960
41	AT5G14460
41	AT5G24840
41	AT5G40870
41	AT5G46920
41	AT5G62650
42	AT1G07280
42	AT1G12780
42	AT1G21340
42	AT1G23040
42	AT1G30620
42	AT2G32930
42	AT3G04330
42	AT3G19430
42	AT3G61930
42	AT4G23920
42	AT4G27400
42	AT5G54370
42	AT5G55110
43	AT1G21060
43	AT1G47720
43	AT1G64970
43	AT1G65380
43	AT2G04040
43	AT2G40720
43	AT3G13190
43	AT3G49420
43	AT4G32300
43	AT5G07140
44	AT4G23280
45	AT1G08340
45	AT1G17180
45	AT1G69260
45	AT2G23110
45	AT2G27430
45	AT2G46950
45	AT3G13520
45	AT3G27200
45	AT3G45010
45	AT3G48240
45	AT3G48340
45	AT4G22270
45	AT4G30470
45	AT5G23220
45	AT5G52510
46	AT1G06330
46	AT2G37700
46	AT5G04970
47	AT1G16150
47	AT1G30720
47	AT1G30755
47	AT3G26210
48	AT1G48070
48	AT1G68825
48	AT1G76620
48	AT3G21890
48	AT4G00750
48	AT4G12980
48	AT5G45810
49	AT4G23250
50	AT1G56550
51	AT5G56960
52	AT2G34660
52	AT4G02280
52	AT4G30100
52	AT5G53460
53	AT1G05950
53	AT1G26100
53	AT1G26840
53	AT1G62010
53	AT1G65470
53	AT2G13600
53	AT3G43920
53	AT3G56870
53	AT4G19130
53	AT4G33470
53	AT5G07760
53	AT5G12100
53	AT5G37530
53	AT5G44230
53	AT5G46680
53	AT5G62990
53	AT5G63540
54	AT4G23170
54	AT5G47240
55	AT3G48390
55	AT3G51680
55	AT4G24110
55	AT5G11620
55	AT5G15190
56	AT1G16460
56	AT1G47210
56	AT2G30000
56	AT2G39080
56	AT2G42190
56	AT3G09800
56	AT3G11620
56	AT3G12220
56	AT3G61540
56	AT4G01900
56	AT4G03415
56	AT4G08690
56	AT4G20325
56	AT4G22212
56	AT5G11450
56	AT5G50375
56	AT5G53045
57	AT1G15390
57	AT1G76405
57	AT2G03240
57	AT2G34750
57	AT2G41150
57	AT2G42810
57	AT3G15240
57	AT3G49470
57	AT3G55080
57	AT3G57050
57	AT4G05090
57	AT4G26620
57	AT4G29210
57	AT5G05980
57	AT5G52170
57	AT5G52920
58	AT1G15510
58	AT1G20570
58	AT1G60230
58	AT1G63420
58	AT2G03770
58	AT2G22410
58	AT3G26070
58	AT3G51820
58	AT3G56910
58	AT4G16770
58	AT5G15300
58	AT5G27400
58	AT5G44780
58	AT5G45610
58	AT5G56380
58	AT5G62370
58	AT5G63520
59	AT3G13175
59	AT5G62670
59	ATCG00040
59	ATCG00750
59	ATCG00760
59	ATCG00770
59	ATCG00780
59	ATCG00810
59	ATCG01010
60	AT1G01210
60	AT1G02370
60	AT1G23935
60	AT1G47670
60	AT1G67120
60	AT2G23700
60	AT2G33680
60	AT3G13180
60	AT3G20260
60	AT3G59890
60	AT5G40320
60	AT5G42670
60	AT5G60990
61	AT1G22330
62	AT2G46535
63	AT1G03530
63	AT1G15440
63	AT1G77550
63	AT1G79150
63	AT2G04030
63	AT2G17250
63	AT2G18900
63	AT2G28000
