cluster	gene
1	AT1G01140
1	AT1G02310
1	AT1G10140
1	AT1G15180
1	AT1G32170
1	AT1G44608
1	AT1G78260
1	AT2G20750
1	AT2G26690
1	AT2G27360
1	AT2G28960
1	AT2G29730
1	AT2G32270
1	AT2G34500
1	AT2G43150
1	AT3G01420
1	AT3G05920
1	AT3G13650
1	AT3G14850
1	AT3G21340
1	AT3G22570
1	AT3G26520
1	AT3G26700
1	AT3G46400
1	AT3G49780
1	AT3G52770
1	AT3G56930
1	AT4G12510
1	AT4G12520
1	AT4G13440
1	AT4G17340
1	AT4G18425
1	AT4G20730
1	AT4G22666
1	AT4G25070
1	AT4G30170
1	AT4G31470
1	AT4G34920
1	AT4G37070
1	AT4G40065
1	AT5G12880
1	AT5G15180
1	AT5G22310
1	AT5G26010
1	AT5G44480
1	AT5G51060
1	AT5G63595
2	AT1G02030
2	AT1G02400
2	AT1G02450
2	AT1G05010
2	AT1G05100
2	AT1G05530
2	AT1G06350
2	AT1G07300
2	AT1G07350
2	AT1G09080
2	AT1G09790
2	AT1G10480
2	AT1G12030
2	AT1G12320
2	AT1G12610
2	AT1G17310
2	AT1G18290
2	AT1G18835
2	AT1G19200
2	AT1G20030
2	AT1G20120
2	AT1G20190
2	AT1G20310
2	AT1G21520
2	AT1G22400
2	AT1G22470
2	AT1G25425
2	AT1G26720
2	AT1G26920
2	AT1G27030
2	AT1G28550
2	AT1G34500
2	AT1G34760
2	AT1G50060
2	AT1G51830
2	AT1G53470
2	AT1G53635
2	AT1G55210
2	AT1G55230
2	AT1G55740
2	AT1G56550
2	AT1G56580
2	AT1G58080
2	AT1G58360
2	AT1G61260
2	AT1G62370
2	AT1G62380
2	AT1G64561
2	AT1G65610
2	AT1G67070
2	AT1G70750
2	AT1G71695
2	AT1G72600
2	AT1G74000
2	AT1G74020
2	AT1G74310
2	AT1G75620
2	AT1G76360
2	AT1G77120
2	AT1G77270
2	AT1G77730
2	AT1G77885
2	AT1G78120
2	AT1G78370
2	AT1G80660
2	AT2G01300
2	AT2G01890
2	AT2G02620
2	AT2G17590
2	AT2G19310
2	AT2G21630
2	AT2G21780
2	AT2G23170
2	AT2G24040
2	AT2G25450
2	AT2G25940
2	AT2G26380
2	AT2G28160
2	AT2G28170
2	AT2G31345
2	AT2G31560
2	AT2G31945
2	AT2G34350
2	AT2G36080
2	AT2G36460
2	AT2G37710
2	AT2G38240
2	AT2G38790
2	AT2G39980
2	AT2G40610
2	AT2G41280
2	AT2G44910
2	AT2G45890
2	AT2G46680
2	AT2G47270
2	AT2G47485
2	AT3G03440
2	AT3G04630
2	AT3G05890
2	AT3G06890
2	AT3G07320
2	AT3G10100
2	AT3G11660
2	AT3G14070
2	AT3G14660
2	AT3G14950
2	AT3G16220
2	AT3G18280
2	AT3G18930
2	AT3G21240
2	AT3G21270
2	AT3G22830
2	AT3G23800
2	AT3G24500
2	AT3G25495
2	AT3G25930
2	AT3G27880
2	AT3G28740
2	AT3G28750
2	AT3G28857
2	AT3G29430
2	AT3G43250
2	AT3G44990
2	AT3G46800
2	AT3G47220
2	AT3G47420
2	AT3G48460
2	AT3G48850
2	AT3G49520
2	AT3G52810
2	AT3G52880
2	AT3G58770
2	AT3G59900
2	AT3G60610
2	AT3G61740
2	AT3G62010
2	AT3G62020
2	AT4G02160
2	AT4G04840
2	AT4G09990
2	AT4G12450
2	AT4G13620
2	AT4G14368
2	AT4G16190
2	AT4G17940
2	AT4G18010
2	AT4G19690
2	AT4G22070
2	AT4G25200
2	AT4G27435
2	AT4G27520
2	AT4G28940
2	AT4G30350
2	AT4G30670
2	AT4G30845
2	AT4G32810
2	AT4G33467
2	AT4G34210
2	AT4G34580
2	AT4G35180
2	AT4G35720
2	AT4G36880
2	AT4G38580
2	AT4G39366
2	AT5G01040
2	AT5G02000
2	AT5G04150
2	AT5G06230
2	AT5G06839
2	AT5G08030
2	AT5G08780
2	AT5G13740
2	AT5G14180
2	AT5G14740
2	AT5G14760
2	AT5G15160
2	AT5G15480
2	AT5G16230
2	AT5G16970
2	AT5G18270
2	AT5G19025
2	AT5G19970
2	AT5G20045
2	AT5G20810
2	AT5G21105
2	AT5G21280
2	AT5G23980
2	AT5G24940
2	AT5G25110
2	AT5G25460
2	AT5G26960
2	AT5G27610
2	AT5G35945
2	AT5G38700
2	AT5G40930
2	AT5G43570
2	AT5G43760
2	AT5G45880
2	AT5G50930
2	AT5G52050
2	AT5G54165
2	AT5G54370
2	AT5G55250
2	AT5G64260
2	AT5G64510
2	AT5G66780
2	AT5G67330
