,DEG
AT4G31800,1
AT3G62670,0
AT1G76420,0
AT1G25440,0
AT3G07340,1
AT1G73360,0
AT4G10240,0
AT3G51960,0
AT5G15800,0
AT5G49200,0
AT3G10113,0
AT4G34990,0
AT5G23090,0
AT2G03710,0
AT5G45420,0
AT2G37590,0
AT2G40220,0
AT4G02235,0
AT5G51990,0
AT1G06180,0
AT4G16141,1
AT4G21080,0
AT5G40430,0
AT5G45710,0
AT3G47600,0
AT5G60690,0
AT1G69560,0
AT5G62110,0
AT3G57230,0
AT5G27580,0
AT4G27950,1
AT1G18960,0
AT3G02150,0
AT2G35430,0
AT3G50750,0
AT1G23380,0
AT2G39250,0
AT1G13450,0
AT1G18750,1
AT2G23760,0
AT1G17950,0
AT5G57520,0
AT2G46870,0
AT5G52510,1
AT5G41765,0
AT5G07310,0
AT5G18270,1
AT5G07690,0
AT1G06910,0
AT4G28530,0
AT3G12130,0
AT5G18000,0
AT5G60830,0
AT1G78540,0
AT1G07900,0
AT5G03720,0
AT1G19000,0
AT2G19820,0
AT2G26150,0
AT5G08330,0
AT5G25390,0
AT5G42780,0
AT3G56770,0
AT2G25820,0
AT5G38860,1
AT5G02320,0
AT4G12750,1
AT2G30420,0
AT5G15210,0
AT5G17320,0
AT2G31310,0
AT1G68150,0
AT2G02070,0
AT5G63790,1
AT1G76870,0
AT1G24625,0
AT5G53950,0
AT1G65910,0
AT5G62470,0
AT1G68120,0
AT3G03660,0
AT5G56860,0
AT5G62430,0
AT1G06170,0
AT3G01080,0
AT3G24520,0
AT5G58890,0
AT2G26950,0
AT5G64750,1
AT3G59060,1
AT4G39160,0
AT1G54330,0
AT2G37430,0
AT4G23810,0
AT1G71692,0
AT2G46970,0
AT2G33810,0
AT1G74660,0
AT1G76890,0
AT3G29035,0
AT5G39690,0
AT5G01200,0
AT3G09600,0
AT2G43280,0
AT5G28770,1
AT3G57920,0
AT3G62420,0
AT5G11590,0
AT5G40880,1
AT1G64380,0
AT3G16350,1
AT1G68510,0
AT1G36000,0
AT3G12977,0
AT4G06634,0
AT1G32330,0
AT2G42410,0
AT4G28815,0
AT1G09540,0
AT5G07580,0
AT4G35900,0
AT1G25580,0
AT2G34140,1
AT2G45880,0
AT4G00150,1
AT1G50680,0
AT5G17490,0
AT2G06020,0
AT1G04445,1
AT2G18350,0
AT5G14750,0
AT5G10030,0
AT4G31620,0
AT3G16870,0
AT5G60440,0
AT1G54060,0
AT5G27960,0
AT3G18380,0
AT2G45480,0
AT2G16210,0
AT1G19700,1
AT5G26170,0
AT3G58780,0
AT2G22300,0
AT4G26170,0
AT1G66350,0
AT1G21910,0
AT2G47210,0
AT5G38740,0
AT1G17520,0
AT5G12870,0
AT4G02560,0
AT4G00730,0
AT1G13600,0
AT3G10490,0
AT4G28500,0
AT2G43000,1
AT5G65060,0
AT5G05790,0
AT1G24590,0
AT5G58850,0
AT1G07520,0
AT4G11660,0
AT5G23260,0
AT4G31690,0
AT1G23420,0
AT5G05660,0
AT3G18400,0
AT5G46690,0
AT1G68240,0
AT4G25560,0
AT1G53230,0
AT4G37730,0
AT3G01220,0
AT4G39070,0
AT5G12840,0
AT1G22130,0
AT3G14020,0
AT1G63100,0
AT4G00210,0
AT1G12980,0
AT4G24470,0
AT3G30210,0
AT1G74430,0
AT4G09180,0
AT4G17880,0
AT5G66350,0
AT1G29600,0
AT3G50650,0
AT2G02080,0
AT1G72740,0
AT4G00130,0
AT1G64620,0
AT2G24645,0
AT4G37750,0
AT3G29020,0
AT4G31680,0
AT1G21200,0
AT1G66420,0
AT5G39660,0
AT1G29950,0
AT1G14410,0
AT2G28610,0
AT1G75410,0
AT4G38620,0
AT1G06280,0
AT5G51790,0
