,B,C,D,E,F,G
AT1G01010,-0.5067533948427491,-0.4189242800062924,-0.26167317492548714,0.0982905126444885,-0.5654471428083785,-0.1554158537133981
AT1G01020,0.2276866158492708,0.24885202266357428,0.08518962651305532,0.3274990400656785,0.21635672109921775,-0.08792298731273249
AT1G01030,-0.22299343732104243,-0.22815907882245154,-0.28908654330002137,-0.4355812730925616,-0.5049741726143279,-0.10981401618691587
AT1G01040,-0.3110970210748853,-0.6241695525190549,0.14959762061229995,-0.14540328548725942,-0.13683222538682507,0.4042248179212492
AT1G01046,16.64160829068776,-0.4464120453529188,-1.2593262997509032,16.831229339677275,15.87284192385049,-0.10268017042426102
AT1G01050,0.02573602033209924,0.14972515060996963,-0.00762646751466625,0.0028151998395265494,0.10515867430393619,0.03729256094645677
AT1G01060,-0.16771445829761664,-0.22052877663205156,0.2106439160576032,0.4674830324853545,0.10431725521296481,0.13161130396025755
AT1G01070,-0.23258706532051196,-1.1813769037309696,-1.0676620292518846,0.4794395510227064,-1.3004251253182793,-2.2428320547673417
AT1G01073,17.540672837688568,0.0,0.0,0.0,-18.014723186212198,-16.376193480723995
AT1G01080,0.04512687844986987,-0.11148926079130235,0.36093845647145273,1.016928599074919,0.13705469848404142,-0.9885768115272384
AT1G01090,0.16128122471072429,0.18330780635661836,-0.015293087007942066,0.3513637970135763,0.2786528250708083,0.0035447650023818665
AT1G01100,0.38349826911184587,0.5559445622000951,-0.08945486367924142,0.11393740318011406,0.34473332498402537,0.03960736103511676
AT1G01110,0.163740263119759,0.2643922748854199,0.07579754527365495,-0.11093551889910193,0.17648433380361325,0.13940864577630982
AT1G01115,0.0,0.0,-16.459536934309067,0.0,0.0,0.0
AT1G01120,0.2827497247410559,0.24720495128543032,0.5964248635322074,-0.03616933692806091,0.5306709745819438,0.7689726887756249
AT1G01130,0.77829106091175,0.4760469851583047,-0.14393157190373418,1.4032400984640234,0.2191514124731983,-0.21339078307043255
AT1G01140,-0.9600316541360358,-0.3440669324824923,0.29845017473154106,-0.09801439475580957,-0.17130199249387423,0.838071927054004
AT1G01150,0.0,-15.350477089211168,14.62571339771874,14.393621649220398,-12.871151731318701,-11.384045965449841
AT1G01160,0.2548840418447733,0.3248048782037706,-0.03538148419745203,-0.0024157601773734704,0.25262972262660915,-0.0997395721264276
AT1G01170,0.8056347779413345,0.9597661200461616,0.08217321410147513,0.8857500842696792,0.7472922565605002,0.6286508385920384
AT1G01180,-0.7411684333160315,-0.09501124300185083,0.2681146694302787,-1.0519102223869403,0.31286827952599305,0.38087587314000143
AT1G01183,0.0,0.0,0.0,0.0,0.0,0.0
AT1G01190,-1.3309991053956944,1.4411556067474631,-0.18935597240955457,15.151296425898348,-1.717766552950866,-0.5264891209496321
AT1G01200,-0.3245420202231945,-0.5463798619019224,-0.1794572039902726,-0.45593499847576946,0.030005076649841835,0.37009704043503067
AT1G01210,0.816803769521794,0.34046042008697164,-0.024960119746068602,0.6381506526859331,0.5072782476737514,-0.34007746302680747
AT1G01220,0.17518573425046027,-0.056469888239940126,0.0011224356614728953,0.21868743582246677,0.17458450494282396,0.12980559273107709
AT1G01225,-0.06885729771589541,0.20371278843519114,0.14237238167939878,0.23997319468823355,0.20766481066953413,0.4289854011104062
AT1G01230,-0.0230148845338729,0.15462582669957003,0.0985599517694052,-0.024512021035932453,0.13863139414972236,0.07681110312485051
AT1G01240,-0.2309692844836444,0.08565968403545096,0.16385731345348423,-0.21670844633210073,0.04883585978202189,0.17605282278240467
AT1G01250,15.620864250244258,0.0,0.0,0.0,-13.358974785036223,0.0
AT1G01260,0.0014960470843592801,-0.06721468502758221,-0.07405478787539353,-0.022805473331007988,0.07842531678043924,-0.059772863375495554
AT1G01270,19.111838797067573,-17.49496914908223,-18.159965569355762,17.280140340113583,-18.124248172780252,0.0
AT1G01280,0.0,-13.01940167604493,0.7008315113711168,1.877639637221146,-2.0792676089995994,-13.95685983782907
AT1G01290,-0.049035594836230684,0.20624226485334637,-0.1459156938269,0.12928486193621294,-0.05625272828699971,-0.18053554222347515
AT1G01300,-0.12414444167487494,-0.04162851750406055,-0.13001141170455752,-0.27280033430848244,0.09664618304608619,0.22277014500517
AT1G01305,-0.2843848909384881,-1.861509503378039,0.879530919620128,0.3436884630138666,-2.969305325826105,-16.205620215714834
AT1G01310,-0.2588268192879343,0.9188729452019953,-1.233207916524576,0.3226682588699067,1.0790613925750805,-1.3255349216222307
AT1G01320,0.4452369344414581,-0.38938958342802277,-0.19980418214459833,0.17172028153309107,-0.19677349279534317,-0.3420891273283677
AT1G01340,-0.5326429968400772,-1.182561709514831,-0.3005952622135937,-0.2439589912910082,0.04046013286178228,-0.5603829374692425
AT1G01350,-0.0969073022524478,0.04745683346310657,0.028481485594830536,-0.09600508240929179,-0.056583451646206526,-0.11753529626121269
AT1G01355,-15.44282668481312,14.379235321444373,-0.7958747669257799,-14.377541534268518,0.7003665345877788,1.4642965349296764
AT1G01360,-0.1258450263097776,-0.15089384912746848,0.09021132309068691,-0.28100787642767827,-0.20131477281404797,-0.23495064142202696
AT1G01370,-0.04630688569823125,0.09481222145208809,0.11301734336684947,0.11893785833245779,0.11138882899719334,-0.15846700161897895
AT1G01380,-0.6834905527059791,-0.9161734608481529,-1.1721416008966505,-0.5850302062838681,-1.4583031608728185,-1.6030812311095737
AT1G01390,14.422143416397223,14.200810430242315,-2.746935362507647,0.0,0.0,15.415106543464768
AT1G01400,0.0,0.0,0.0,0.0,0.0,0.0
AT1G01410,0.0,0.0,0.0,0.0,14.85498591022775,0.0
AT1G01420,0.0,0.0,14.745318834639413,12.88039201472603,0.0,13.783387440338855
AT1G01430,0.16596572512257626,-0.1792462682288197,0.10223853014589669,0.39453688989727265,0.45226205781293227,0.11209755009399718
AT1G01440,-0.1378233232913354,-0.14505844906857163,0.22905463118174674,0.027381380895332548,0.08177170004627564,0.040856946003331784
AT1G01448,0.6762679073790081,0.6685774433003159,0.28658638129538366,0.32287765322933626,0.2522309686109971,-0.17465889268316312
AT1G01450,15.291346830180284,13.338927402164261,0.0,0.0,0.0,0.0
AT1G01453,14.934119317319777,0.0,-0.6034853262977956,-1.690316640589928,13.062630118975427,-16.89508024459542
AT1G01460,0.3703993247217754,0.0,2.0454248401471773,-0.7890827089499725,3.3927041524645345,0.0
AT1G01470,-0.8336942108270335,-0.4618312825042656,-0.009919337151014215,-1.1112211938554384,-0.8524007198342791,-0.06022885354493018
AT1G01471,-0.5318749050284319,1.4412509921071788,2.1266178898639696,-0.20595832837171996,0.4932116340341327,-17.877380968989016
AT1G01480,0.3414023307330333,-0.016903614891726038,0.024713643099106786,-0.11377672396045886,-0.1355617375267762,-0.4330483763483602
AT1G01490,-0.1135607694313727,0.05067593078399641,0.04958630952898124,0.059042229752616505,-0.13951099344544898,-0.10753589877932493
AT1G01500,-0.40361156342219545,-0.48237642964101357,-0.411996938559084,-0.4731880987707314,-0.4658201964996104,-0.4861242214594814
AT1G01510,0.3137859505677509,0.17427331561718085,-0.016713785373482594,0.22713269433084562,0.15895558409429889,-0.04405600743417947
AT1G01520,0.005502794937638827,0.08374389219304113,0.22637932142533693,0.7903682956129857,-0.9485388141363906,-0.21661694166100864
AT1G01530,1.7570892992967473,0.0,1.1887445776032675,-0.7613712160013145,-1.3439846463538727,1.897279533937412
AT1G01540,-0.19256889357293008,-0.05052191680124665,-0.08076957659907147,-0.06937096372638787,0.023018700227618445,0.13547872982846867
AT1G01550,-0.24503626909217516,-0.13229523228886372,0.014022763941559371,-0.26335567406488025,-0.106248339975108,0.06634998758940747
AT1G01560,-0.14269215809576488,-0.08856443431912603,-0.001167370125853213,-0.24628097983135244,-0.3660535259717981,0.43144856280231986
AT1G01570,0.024148576700575092,-0.10868713954266865,-0.351719725480312,-0.43330413612008567,-0.33057344006658423,-0.10768459044474019
AT1G01580,-0.7580457989763897,-0.8226684541854485,-0.38314470946332185,-1.3814096689701558,-1.1856440379220323,-1.2429769945081777
AT1G01590,0.0,0.0,0.0,-14.186720567669632,0.0,0.0
AT1G01600,0.2032383982286269,0.5770441718077783,0.21479619148279336,-0.2491104382705575,-0.36913308378362064,-1.0373445452162222
AT1G01610,-2.022498386833494,-15.128873705781004,2.5656833177686553,-0.6463106392331823,-15.506887280276633,-3.2879054907387233
AT1G01620,-0.23500392159446346,0.4984478959075329,0.5449429075592227,0.05929309508146467,0.6241929511204698,0.6841609931614439
AT1G01630,-0.41324536539019247,-0.09632198119159456,-0.13413918931242463,-0.3014596339700883,-0.11773417895339443,0.07808741090443563
AT1G01640,0.23521765163636013,0.32022192800571925,1.01593975010684,-0.6546939101207303,0.09347463140382799,0.02466000705771549
AT1G01650,0.09820496166777098,0.3595065140379183,0.5867466378017728,0.11179899188177375,0.3357869721892163,0.5455801083034021
AT1G01660,1.4903921167582332,3.473232534312342,1.3937248736235741,0.16975196995094444,1.0232791567748147,-1.3954195408961545
AT1G01670,0.3092716243520749,0.3197634718206222,0.5527051564447871,0.5032445836944648,0.5135153489446844,0.30230135506869715
AT1G01680,0.32177696652174187,2.1383666670808137,0.355467880941113,-0.35155749105264394,-0.20630295890089065,-15.13071658617665
AT1G01690,0.15972844673182965,0.18823518832267522,-0.43614610758385425,0.4772327589777198,0.04967613344453855,0.19445120508955321
AT1G01695,2.567306485529511,16.595477289159177,2.488358468134563,-0.7617045145105179,-2.3024301317515765,-1.434164261566175
