Family,TF,AGI,gene_name,motif
ABI3VP1,AT5G18090,AT5G18090,NA,ABI3VP1_tnt.AT5G18090_col_a_m1
ABI3VP1,AT5G60130,AT5G60130,NA,ABI3VP1_tnt.AT5G60130_col_a_m1
ABI3VP1,FUS3,AT3G26790,"FUS3,FUSCA3",ABI3VP1_tnt.FUS3_col_a_m1
ABI3VP1,REM16,AT4G33280,REM16,ABI3VP1_tnt.REM16_col_a_m1
ABI3VP1,VRN1,AT3G18990,"REM39,VRN1",ABI3VP1_tnt.VRN1_col_a_m1
AP2EREBP,ABR1,AT5G64750,ABR1,AP2EREBP_tnt.ABR1_col_a_m1
AP2EREBP,AT1G01250,AT1G01250,NA,AP2EREBP_tnt.AT1G01250_col_a_m1
AP2EREBP,AT1G12630,AT1G12630,NA,AP2EREBP_tnt.AT1G12630_col_a_m1
AP2EREBP,AT1G19210,AT1G19210,NA,AP2EREBP_tnt.At1g19210_col_a_m1
AP2EREBP,AT1G22810,AT1G22810,NA,AP2EREBP_tnt.At1g22810_col_m1
AP2EREBP,AT1G28160,AT1G28160,NA,AP2EREBP_tnt.AT1G28160_col_a_m1
AP2EREBP,AT1G36060,AT1G36060,NA,AP2EREBP_tnt.At1g36060_col_a_m1
AP2EREBP,AT1G44830,AT1G44830,NA,AP2EREBP_tnt.AT1G44830_col_a_m1
AP2EREBP,AT1G71450,AT1G71450,NA,AP2EREBP_tnt.AT1G71450_col_a_m1
AP2EREBP,AT1G75490,AT1G75490,NA,AP2EREBP_tnt.At1g75490_col_a_m1
AP2EREBP,AT1G77200,AT1G77200,NA,AP2EREBP_tnt.AT1G77200_col_a_m1
AP2EREBP,AT1G77640,AT1G77640,NA,AP2EREBP_tnt.At1g77640_col_a_m1
AP2EREBP,AT2G33710,AT2G33710,NA,AP2EREBP_tnt.At2g33710_col_m1
AP2EREBP,AT2G44940,AT2G44940,NA,AP2EREBP_tnt.At2g44940_col_a_m1
AP2EREBP,AT3G16280,AT3G16280,NA,AP2EREBP_tnt.AT3G16280_col_a_m1
AP2EREBP,AT3G57600,AT3G57600,NA,AP2EREBP_tnt.AT3G57600_col_a_m1
AP2EREBP,AT4G16750,AT4G16750,NA,AP2EREBP_tnt.At4g16750_col_a_m1
AP2EREBP,AT4G18450,AT4G18450,NA,AP2EREBP_tnt.AT4G18450_col_a_m1
AP2EREBP,AT4G28140,AT4G28140,NA,AP2EREBP_tnt.At4g28140_col_a_m1
AP2EREBP,AT4G31060,AT4G31060,NA,AP2EREBP_tnt.At4g31060_col_a_m1
AP2EREBP,AT4G32800,AT4G32800,NA,AP2EREBP_tnt.At4g32800_col_m1
AP2EREBP,AT5G18450,AT5G18450,NA,AP2EREBP_tnt.At5g18450_col_a_m1
AP2EREBP,AT5G65130,AT5G65130,NA,AP2EREBP_tnt.At5g65130_col_a_m1
AP2EREBP,AT5G67000,AT5G67000,NA,AP2EREBP_tnt.At5g67000_col_a_m1
AP2EREBP,CBF1,AT4G25490,"CBF1,DREB1B",AP2EREBP_tnt.CBF1_col_a_m1
AP2EREBP,CBF2,AT4G25470,"CBF2,DREB1C,FTQ4",AP2EREBP_tnt.CBF2_col_a_m1
AP2EREBP,CBF3,AT4G25480,"CBF3,DREB1A",AP2EREBP_tnt.CBF3_col_a_m1
AP2EREBP,CBF4,AT5G51990,"CBF4,DREB1D",AP2EREBP_tnt.CBF4_col_a_m1
AP2EREBP,CEJ1,AT3G50260,"ATERF#011,CEJ1,DEAR1",AP2EREBP_tnt.CEJ1_col_a_m1
AP2EREBP,CRF10,AT1G68550,CRF10,AP2EREBP_tnt.CRF10_col100_a_m1
AP2EREBP,CRF4,AT4G27950,CRF4,AP2EREBP_tnt.CRF4_col_a_m1
AP2EREBP,DDF1,AT1G12610,DDF1,AP2EREBP_tnt.DDF1_col_a_m1
AP2EREBP,DDF2,AT1G63030,"ddf2,",AP2EREBP_tnt.DDF2_col_a_m1
AP2EREBP,DEAR2,AT5G67190,DEAR2,AP2EREBP_tnt.DEAR2_col_a_m1
AP2EREBP,DEAR3,AT2G23340,DEAR3,AP2EREBP_tnt.DEAR3_col_a_m1
AP2EREBP,DEAR5,AT4G06746,"DEAR5,RAP2.9",AP2EREBP_tnt.DEAR5_col_a_m1
AP2EREBP,DREB19,AT2G38340,DREB19,AP2EREBP_tnt.DREB19_col_a_m1
AP2EREBP,DREB2,AT5G05410,"DREB2,DREB2A",AP2EREBP_tnt.DREB2_col_a_m1
AP2EREBP,DREB26,AT1G21910,DREB26,AP2EREBP_tnt.DREB26_col_a_m1
AP2EREBP,ERF1,AT3G23240,ERF1,AP2EREBP_tnt.ERF1_col_a_m1
AP2EREBP,ERF10,AT1G03800,ERF10,AP2EREBP_tnt.ERF10_col_a_m1
AP2EREBP,ERF104,AT5G61600,ERF104,AP2EREBP_tnt.ERF104_col_a_m1
AP2EREBP,ERF105,AT5G51190,ERF105,AP2EREBP_tnt.ERF105_col_m1
AP2EREBP,ERF11,AT1G28370,ERF11,AP2EREBP_tnt.ERF11_col_b_m1
AP2EREBP,ERF115,AT5G07310,ERF115,AP2EREBP_tnt.ERF115_col_a_m1
AP2EREBP,ERF13,AT2G44840,ERF13,AP2EREBP_tnt.ERF13_col_b_m1
AP2EREBP,ERF15,AT2G31230,ERF15,AP2EREBP_tnt.ERF15_col_m1
AP2EREBP,ERF2,AT5G47220,ERF2,AP2EREBP_tnt.ERF2_col_a_m1
AP2EREBP,ERF3,AT1G50640,ERF3,AP2EREBP_tnt.ERF3_col_a_m1
AP2EREBP,ERF38,AT2G35700,ERF38,AP2EREBP_tnt.ERF38_col_a_m1
AP2EREBP,ERF4,AT3G15210,"ERF4,RAP2.5",AP2EREBP_tnt.ERF4_col_a_m1
AP2EREBP,ERF48,AT2G40340,"ERF48,DREB2C",AP2EREBP_tnt.ERF48_col_a_m1
AP2EREBP,ERF5,AT5G47230,ERF5,AP2EREBP_tnt.ERF5_col_a_m1
AP2EREBP,ERF6,AT4G17490,ERF6,AP2EREBP_tnt.ERF6_col_m1
AP2EREBP,ERF7,AT3G20310,ERF7,AP2EREBP_tnt.ERF7_col_a_m1
AP2EREBP,ERF73,AT1G72360,ERF73,AP2EREBP_tnt.ERF73_col_a_m1
AP2EREBP,ERF8,AT1G53170,ERF8,AP2EREBP_tnt.ERF8_col_a_m1
AP2EREBP,ERF9,AT5G44210,ERF9,AP2EREBP_tnt.ERF9_col_a_m1
AP2EREBP,ESE1,AT3G23220,ESE1,AP2EREBP_tnt.ESE1_col_a_m1
AP2EREBP,ESE3,AT5G25190,ESE3,AP2EREBP_tnt.ESE3_col_a_m1
AP2EREBP,LEP,AT5G13910,LEP,AP2EREBP_tnt.LEP_col_a_m1
AP2EREBP,PUCHI,AT5G18560,PUCHI,AP2EREBP_tnt.PUCHI_col_a_m1
AP2EREBP,RAP21,AT1G46768,RAP2.1,AP2EREBP_tnt.RAP21_col_a_m1
AP2EREBP,RAP210,AT5G52020,Rap2.10,AP2EREBP_tnt.Rap210_col_a_m1
AP2EREBP,RAP211,AT5G19790,RAP2.11,AP2EREBP_tnt.RAP211_col_a_m1
