TF,target_genes,known_iron,geneisTF
LHY1,AT1G11530,0,0
LHY1,AT1G62580,0,0
LHY1,AT1G68470,0,0
LHY1,AT2G13360,0,0
LHY1,AT2G30600,0,0
LHY1,AT4G04040,0,0
LHY1,AT4G36670,0,0
LHY1,AT5G06740,0,0
LHY1,AT5G44585,0,0
LHY1,AT5G61440,0,0
AT5G61620,AT1G13480,0,0
AT5G61620,AT2G14170,0,0
AT5G61620,AT2G30600,0,0
AT5G61620,AT2G39000,0,0
AT5G61620,AT2G47550,0,0
AT5G61620,AT3G09780,0,0
AT5G61620,AT3G19930,0,0
AT5G61620,AT3G45330,0,0
AT5G61620,AT4G36670,0,0
AT5G61620,AT5G24110,0,1
AT5G61620,AT5G24230,0,0
AT5G61620,AT5G24490,0,0
AT5G61620,AT5G25910,0,0
AT5G61620,AT5G36930,0,0
AT5G61620,AT5G46040,0,0
AT5G61620,AT5G48620,0,0
AT5G61620,AT5G57655,0,0
AT5G61620,AT5G60270,0,0
AT5G61620,AT5G61440,0,0
AT5G18090,AT1G02930,0,0
AT5G18090,AT1G04710,0,0
AT5G18090,AT1G06510,0,0
AT5G18090,AT1G06710,0,0
AT5G18090,AT1G08930,0,0
AT5G18090,AT1G13110,0,0
AT5G18090,AT1G13580,0,0
AT5G18090,AT1G16480,0,0
AT5G18090,AT1G17300,0,0
AT5G18090,AT1G18750,0,1
AT5G18090,AT1G24290,0,0
AT5G18090,AT1G29530,0,0
AT5G18090,AT1G30520,0,0
AT5G18090,AT1G53025,0,0
AT5G18090,AT1G53520,0,0
AT5G18090,AT1G60770,0,0
AT5G18090,AT1G64010,0,0
AT5G18090,AT1G64020,0,0
AT5G18090,AT1G79850,0,0
AT5G18090,AT2G02930,0,0
AT5G18090,AT2G15128,0,0
AT5G18090,AT2G17140,0,0
AT5G18090,AT2G19800,0,0
AT5G18090,AT2G29740,0,0
AT5G18090,AT2G30520,0,0
AT5G18090,AT2G34750,0,0
AT5G18090,AT2G34920,0,0
AT5G18090,AT2G38230,0,0
AT5G18090,AT2G38370,0,0
AT5G18090,AT2G39080,0,0
AT5G18090,AT2G39400,0,0
AT5G18090,AT2G41100,0,0
AT5G18090,AT2G43030,0,0
AT5G18090,AT2G43620,0,0
AT5G18090,AT2G44380,0,0
AT5G18090,AT3G02820,0,0
AT5G18090,AT3G06530,0,0
AT5G18090,AT3G12220,0,0
AT5G18090,AT3G15360,0,0
AT5G18090,AT3G15450,0,0
AT5G18090,AT3G15630,0,0
AT5G18090,AT3G16260,0,0
AT5G18090,AT3G16320,0,0
AT5G18090,AT3G17170,0,0
AT5G18090,AT3G18250,0,0
AT5G18090,AT3G18730,0,0
AT5G18090,AT3G19470,0,0
AT5G18090,AT3G21540,0,0
AT5G18090,AT3G22060,0,0
AT5G18090,AT3G25882,0,0
AT5G18090,AT3G26210,0,0
AT5G18090,AT3G27850,0,0
AT5G18090,AT3G30775,0,0
AT5G18090,AT3G45050,0,0
AT5G18090,AT3G49725,0,0
AT5G18090,AT3G51340,0,0
AT5G18090,AT3G52140,0,0
AT5G18090,AT3G54220,0,1
AT5G18090,AT3G57940,0,0
AT5G18090,AT3G63370,0,0
AT5G18090,AT4G00690,0,0
AT5G18090,AT4G00930,0,0
AT5G18090,AT4G03460,0,0
AT5G18090,AT4G03935,0,0
AT5G18090,AT4G04670,0,0
AT5G18090,AT4G04850,0,0
AT5G18090,AT4G04940,0,0
AT5G18090,AT4G14365,0,0
AT5G18090,AT4G20940,0,0
AT5G18090,AT4G22212,0,0
AT5G18090,AT4G23250,0,0
AT5G18090,AT4G24890,0,0
AT5G18090,AT4G25050,0,0
AT5G18090,AT4G25080,0,0
AT5G18090,AT4G25110,0,0
AT5G18090,AT4G27010,0,0
AT5G18090,AT4G33010,0,0
AT5G18090,AT4G38160,0,0
AT5G18090,AT4G39640,0,0
AT5G18090,AT5G04895,0,0
AT5G18090,AT5G19230,0,0
AT5G18090,AT5G27400,0,0
AT5G18090,AT5G35945,0,0
AT5G18090,AT5G38940,0,0
AT5G18090,AT5G39710,0,0
AT5G18090,AT5G40950,0,0
AT5G18090,AT5G44990,0,0
AT5G18090,AT5G47240,0,0
AT5G18090,AT5G48430,0,0
AT5G18090,AT5G49410,0,0
AT5G18090,AT5G49640,0,0
AT5G18090,AT5G58650,0,0
AT5G18090,AT5G61940,0,1
AT5G18090,AT5G63540,0,0
WRKY20,AT1G02920,0,0
WRKY20,AT1G02930,0,0
WRKY20,AT1G03620,0,0
WRKY20,AT1G10340,0,0
WRKY20,AT1G11530,0,0
WRKY20,AT1G13110,0,0
WRKY20,AT1G13480,0,0
